method,b,N,F_c
MLE,0,100,0.9763392772136826
VAE,0,100,0.9566895919028908
MLE,1,100,0.9820348866965577
VAE,1,100,0.9660850454383907
MLE,2,100,0.9711091694924606
VAE,2,100,0.9467861855036638
MLE,3,100,0.975281749919843
VAE,3,100,0.9572402211964799
MLE,4,100,0.9720908422884487
VAE,4,100,0.9526446810748516
MLE,5,100,0.9814338176822208
VAE,5,100,0.9597989530221785
MLE,6,100,0.9728512660168163
VAE,6,100,0.9610673746789943
MLE,7,100,0.976625179146054
VAE,7,100,0.9610827314897208
MLE,8,100,0.9755881821745441
VAE,8,100,0.9530930816487473
MLE,9,100,0.9797569140397585
VAE,9,100,0.9480061184936585
MLE,10,100,0.9778506905559978
VAE,10,100,0.9568781943637431
MLE,11,100,0.9711903263777735
VAE,11,100,0.9443585246128772
MLE,12,100,0.9795416359054505
VAE,12,100,0.9615152359423824
MLE,13,100,0.9774096818911159
VAE,13,100,0.9624238239703996
MLE,14,100,0.9721325970764033
VAE,14,100,0.9612583793909839
MLE,15,100,0.9763731576062439
VAE,15,100,0.940246354166428
MLE,16,100,0.9806381766503296
VAE,16,100,0.9543064895275635
MLE,17,100,0.979217079193862
VAE,17,100,0.9611964864798157
MLE,18,100,0.9685714304032225
VAE,18,100,0.9469533581209665
MLE,19,100,0.9747616511808591
VAE,19,100,0.9522054317950968
MLE,20,100,0.9785510201758189
VAE,20,100,0.9586354260406581
MLE,21,100,0.9853448975244803
VAE,21,100,0.9452921378583339
MLE,22,100,0.9786444549624326
VAE,22,100,0.9416190615847018
MLE,23,100,0.9860691642956531
VAE,23,100,0.9620623525912289
MLE,24,100,0.9660806420188283
VAE,24,100,0.9556442778857854
MLE,25,100,0.9729451440537654
VAE,25,100,0.9642968928565475
MLE,26,100,0.9810101460310742
VAE,26,100,0.9609636764984759
MLE,27,100,0.9804437464902195
VAE,27,100,0.966843725584168
MLE,28,100,0.9697832908636029
VAE,28,100,0.9386760505957338
MLE,29,100,0.9669506690631324
VAE,29,100,0.9491219053233422
MLE,30,100,0.9819840684722917
VAE,30,100,0.9637011043078645
MLE,31,100,0.9909366737421569
VAE,31,100,0.9656124136769104
MLE,32,100,0.9899031052675288
VAE,32,100,0.9649127031381898
MLE,33,100,0.9662912818082019
VAE,33,100,0.9553120027305303
MLE,34,100,0.9812080195953218
VAE,34,100,0.9624418900589773
MLE,35,100,0.9710793233049476
VAE,35,100,0.9477078002937648
MLE,36,100,0.9656957259324762
VAE,36,100,0.9406544694558111
MLE,37,100,0.974253293607233
VAE,37,100,0.9492213945017306
MLE,38,100,0.9797700787503189
VAE,38,100,0.9544498474377372
MLE,39,100,0.9547243848851032
VAE,39,100,0.9421194881591233
MLE,40,100,0.9891406549813977
VAE,40,100,0.9647323869094745
MLE,41,100,0.9753817498130889
VAE,41,100,0.9576130193801687
MLE,42,100,0.9818586415873207
VAE,42,100,0.9572772843770078
MLE,43,100,0.9763042268455672
VAE,43,100,0.9651462687028691
MLE,44,100,0.9733233460585755
VAE,44,100,0.954776019277048
MLE,45,100,0.9739387111050005
VAE,45,100,0.9626949076737962
MLE,46,100,0.9712259874691701
VAE,46,100,0.9461233903584304
MLE,47,100,0.9698741988048982
VAE,47,100,0.9470070198217354
MLE,48,100,0.9713876243852774
VAE,48,100,0.954723515647406
MLE,49,100,0.9755238353552402
VAE,49,100,0.9446917430072456
MLE,50,100,0.9669002622623792
VAE,50,100,0.9497881461967169
MLE,51,100,0.9669473851453815
VAE,51,100,0.951765783007686
MLE,52,100,0.972457075044414
VAE,52,100,0.960924948812342
MLE,53,100,0.9825663793357784
VAE,53,100,0.9585728849755235
MLE,54,100,0.9851722608183172
VAE,54,100,0.960276494074967
MLE,55,100,0.9678098362262704
VAE,55,100,0.9530703735810551
MLE,56,100,0.9618122688381909
VAE,56,100,0.9497307278069227
MLE,57,100,0.9771375649891241
VAE,57,100,0.9491995037154789
MLE,58,100,0.9636439095168747
VAE,58,100,0.953473813032732
MLE,59,100,0.98297407185549
VAE,59,100,0.9591559419992931
MLE,60,100,0.972650484162208
VAE,60,100,0.9427057885048734
MLE,61,100,0.9657125163851489
VAE,61,100,0.9490701157680528
MLE,62,100,0.979510253950118
VAE,62,100,0.9614692641099483
MLE,63,100,0.975720242692558
VAE,63,100,0.954048803615975
MLE,64,100,0.9791273311214087
VAE,64,100,0.9538858276913543
MLE,65,100,0.9795028346844857
VAE,65,100,0.9563302671270394
MLE,66,100,0.9732637418400497
VAE,66,100,0.9545131287761706
MLE,67,100,0.9795781149673238
VAE,67,100,0.9643525353731162
MLE,68,100,0.9657104335373075
VAE,68,100,0.9555003104668345
MLE,69,100,0.9618776556415242
VAE,69,100,0.9504583025443414
MLE,70,100,0.9623483520972692
VAE,70,100,0.9544363000007371
MLE,71,100,0.972647679613534
VAE,71,100,0.9514081466950681
MLE,72,100,0.9782132677004477
VAE,72,100,0.9616614360283925
MLE,73,100,0.958589260999539
VAE,73,100,0.9364291029384867
MLE,74,100,0.973800603019883
VAE,74,100,0.9562754455674645
MLE,75,100,0.9810100512757293
VAE,75,100,0.9664794863428008
MLE,76,100,0.98150581342815
VAE,76,100,0.963425197190278
MLE,77,100,0.9650808856814755
VAE,77,100,0.9472104387308371
MLE,78,100,0.9681683904739917
VAE,78,100,0.9581667686602604
MLE,79,100,0.9824922184097172
VAE,79,100,0.960892608693751
MLE,80,100,0.9657492765620149
VAE,80,100,0.9426633246420596
MLE,81,100,0.9743240975072022
VAE,81,100,0.9568228607768446
MLE,82,100,0.9687228604978679
VAE,82,100,0.9638289308808166
MLE,83,100,0.9591577515672015
VAE,83,100,0.9355543410368553
MLE,84,100,0.9894938158041572
VAE,84,100,0.9624265096635659
MLE,85,100,0.9812700532843199
VAE,85,100,0.9572591738647827
MLE,86,100,0.9798194754393161
VAE,86,100,0.9611697220371322
MLE,87,100,0.9673771794316771
VAE,87,100,0.9431502579088736
MLE,88,100,0.975532241590305
VAE,88,100,0.9632758831983959
MLE,89,100,0.9745715103087658
VAE,89,100,0.9451752856118146
MLE,90,100,0.9833887896046175
VAE,90,100,0.9620920311418067
MLE,91,100,0.9824457451061058
VAE,91,100,0.9617971985207756
MLE,92,100,0.9725027258970588
VAE,92,100,0.9570572024220874
MLE,93,100,0.9718947135486028
VAE,93,100,0.9591954804151563
MLE,94,100,0.9804230122393528
VAE,94,100,0.9661043459304244
MLE,95,100,0.966732578505728
VAE,95,100,0.9416487645089217
MLE,96,100,0.9792661604942979
VAE,96,100,0.9674246988590683
MLE,97,100,0.9683811779514669
VAE,97,100,0.943068485092429
MLE,98,100,0.9777669539524495
VAE,98,100,0.9594399550794905
MLE,99,100,0.9773222925286851
VAE,99,100,0.9637980403480618
