method,b,N,F_c
MLE,0,500,0.9943508871047222
VAE,0,500,0.9590546801817905
MLE,1,500,0.9961322353321853
VAE,1,500,0.9619120763702834
MLE,2,500,0.9982290557934153
VAE,2,500,0.963608818486638
MLE,3,500,0.9919849245754162
VAE,3,500,0.9654005375711066
MLE,4,500,0.9934777422121767
VAE,4,500,0.9605319508969131
MLE,5,500,0.9940212096081383
VAE,5,500,0.9576012133469525
MLE,6,500,0.9941475101070416
VAE,6,500,0.9634907733167267
MLE,7,500,0.9954364071106672
VAE,7,500,0.9540273726900159
MLE,8,500,0.9961837300613883
VAE,8,500,0.961232926636175
MLE,9,500,0.9962379696368006
VAE,9,500,0.9559380420170708
MLE,10,500,0.9939726423084
VAE,10,500,0.9634575527864938
MLE,11,500,0.9946477184761248
VAE,11,500,0.9526609095357906
MLE,12,500,0.9935599694914394
VAE,12,500,0.9584668577588548
MLE,13,500,0.9951918364581659
VAE,13,500,0.9597016055249354
MLE,14,500,0.9920289513238226
VAE,14,500,0.9612156970072558
MLE,15,500,0.994721127115799
VAE,15,500,0.9612096833472535
MLE,16,500,0.9959443060923974
VAE,16,500,0.9617597432733865
MLE,17,500,0.996075932368299
VAE,17,500,0.9638299072582351
MLE,18,500,0.9931127538544865
VAE,18,500,0.9594619535596822
MLE,19,500,0.9961551409986216
VAE,19,500,0.961227586673094
MLE,20,500,0.9945527502208947
VAE,20,500,0.9601609951875089
MLE,21,500,0.9951272103542881
VAE,21,500,0.9601944429131335
MLE,22,500,0.9921848053030725
VAE,22,500,0.9552918374583668
MLE,23,500,0.9924682009627033
VAE,23,500,0.9547071697539917
MLE,24,500,0.9957162469543237
VAE,24,500,0.9620121798998437
MLE,25,500,0.9952901340814698
VAE,25,500,0.9599977213072761
MLE,26,500,0.9934017403200943
VAE,26,500,0.960503485686319
MLE,27,500,0.9934246940052867
VAE,27,500,0.9579330666302784
MLE,28,500,0.9957173910450704
VAE,28,500,0.9592313164345934
MLE,29,500,0.995848527145902
VAE,29,500,0.9526880281243495
MLE,30,500,0.9920135166410246
VAE,30,500,0.9573226234427741
MLE,31,500,0.9973580183849619
VAE,31,500,0.9594020357737386
MLE,32,500,0.9935207846323115
VAE,32,500,0.9567536508652263
MLE,33,500,0.9954189895775947
VAE,33,500,0.9605535395878957
MLE,34,500,0.9941317256350337
VAE,34,500,0.9607964482312558
MLE,35,500,0.9907613987027183
VAE,35,500,0.9589373158410077
MLE,36,500,0.9952954131345053
VAE,36,500,0.9608128787210609
MLE,37,500,0.9951072007276339
VAE,37,500,0.9563763483633673
MLE,38,500,0.994880406475201
VAE,38,500,0.9628106472258022
MLE,39,500,0.9930997308529345
VAE,39,500,0.9601433751289898
MLE,40,500,0.9955456091578212
VAE,40,500,0.9656460573546115
MLE,41,500,0.9942569900142517
VAE,41,500,0.9510217994513657
MLE,42,500,0.9933094684146174
VAE,42,500,0.9588997307888428
MLE,43,500,0.9934577333669418
VAE,43,500,0.9645336617857294
MLE,44,500,0.9955440069313531
VAE,44,500,0.9582358745586914
MLE,45,500,0.9940480472913761
VAE,45,500,0.9674118494953073
MLE,46,500,0.9901327219373915
VAE,46,500,0.958893725635417
MLE,47,500,0.995968073507673
VAE,47,500,0.9584246098926912
MLE,48,500,0.9969657942376573
VAE,48,500,0.9621057229208143
MLE,49,500,0.9949167803792048
VAE,49,500,0.9546301324030096
