method,b,N,F_c
MLE,0,100,0.9723189240298477
VAE,0,100,0.9806786184966719
MLE,1,100,0.9866505511612181
VAE,1,100,0.9866379734593965
MLE,2,100,0.98102269500154
VAE,2,100,0.9811823754757566
MLE,3,100,0.9810210589586159
VAE,3,100,0.9864968822366673
MLE,4,100,0.9860086732557022
VAE,4,100,0.9683582329477992
MLE,5,100,0.9834456369056178
VAE,5,100,0.9900727978987081
MLE,6,100,0.9787344554830796
VAE,6,100,0.9858055067753998
MLE,7,100,0.9873072075063538
VAE,7,100,0.9912143399196448
MLE,8,100,0.986034545390567
VAE,8,100,0.9884714555558808
MLE,9,100,0.9808675138285526
VAE,9,100,0.9786296657186999
MLE,10,100,0.985093224036964
VAE,10,100,0.9859599280207307
MLE,11,100,0.9813187501635378
VAE,11,100,0.9935349662325563
MLE,12,100,0.9818036709228587
VAE,12,100,0.9923476455272128
MLE,13,100,0.9754208884387762
VAE,13,100,0.9830954384575376
MLE,14,100,0.9794939988725603
VAE,14,100,0.9762668725657286
MLE,15,100,0.9769260127184559
VAE,15,100,0.9822930602618614
MLE,16,100,0.9680278767441078
VAE,16,100,0.9816908769931448
MLE,17,100,0.981175127395193
VAE,17,100,0.9842686116437178
MLE,18,100,0.9744322583237259
VAE,18,100,0.9919439513408185
MLE,19,100,0.9810424649772098
VAE,19,100,0.9848171080588197
MLE,20,100,0.9836023857103341
VAE,20,100,0.9807564100828552
MLE,21,100,0.9865259517939956
VAE,21,100,0.9827505148416936
MLE,22,100,0.976914663960713
VAE,22,100,0.9829745239982752
MLE,23,100,0.9873522017215521
VAE,23,100,0.9862823688822235
MLE,24,100,0.9650479696103289
VAE,24,100,0.9785284304396328
MLE,25,100,0.9819189086038811
VAE,25,100,0.9829851649134502
MLE,26,100,0.9858532155055729
VAE,26,100,0.9880893480506913
MLE,27,100,0.9817905421081858
VAE,27,100,0.9807086191175879
MLE,28,100,0.9881158602149671
VAE,28,100,0.9947684402407627
MLE,29,100,0.9838168764413903
VAE,29,100,0.978095754185463
MLE,30,100,0.9817889411129812
VAE,30,100,0.9772781101179352
MLE,31,100,0.9721678380608717
VAE,31,100,0.9877156650522007
MLE,32,100,0.9746928909534434
VAE,32,100,0.9801856651152162
MLE,33,100,0.9721734870282643
VAE,33,100,0.9862595040940092
MLE,34,100,0.9782580090282138
VAE,34,100,0.9869476682119133
MLE,35,100,0.9737143535300943
VAE,35,100,0.9779553466245365
MLE,36,100,0.9748725792781848
VAE,36,100,0.9705003936423107
MLE,37,100,0.9720937111614172
VAE,37,100,0.9635364891983327
MLE,38,100,0.9801412598433082
VAE,38,100,0.9858017142818631
MLE,39,100,0.9670410050155425
VAE,39,100,0.9729829092601319
MLE,40,100,0.9921840879105103
VAE,40,100,0.9835704486826206
MLE,41,100,0.9724289613229454
VAE,41,100,0.9883871896814282
MLE,42,100,0.962851915698673
VAE,42,100,0.9699415858569499
MLE,43,100,0.977502991915092
VAE,43,100,0.9828002032982835
MLE,44,100,0.9705700360062145
VAE,44,100,0.9845225967499289
MLE,45,100,0.9811453054519058
VAE,45,100,0.9861313544153254
MLE,46,100,0.9837666391442473
VAE,46,100,0.9896912985631418
MLE,47,100,0.9820675883507289
VAE,47,100,0.977745327833219
MLE,48,100,0.9829061791509023
VAE,48,100,0.9833091542511802
MLE,49,100,0.9816788702112416
VAE,49,100,0.9840074546794048
