method,b,N,F_c
MLE,0,1000,0.9977322758644436
VAE,0,1000,0.971230203812332
MLE,1,1000,0.9985744360862769
VAE,1,1000,0.959785705363744
MLE,2,1000,0.9985095965284433
VAE,2,1000,0.9761312576538609
MLE,3,1000,0.9969235198385727
VAE,3,1000,0.9649238295578645
MLE,4,1000,0.9966022386256003
VAE,4,1000,0.9676383091255115
MLE,5,1000,0.9985957241103952
VAE,5,1000,0.976745903619477
MLE,6,1000,0.9962899696244891
VAE,6,1000,0.9695036476612461
MLE,7,1000,0.9985714065316756
VAE,7,1000,0.9672414878186338
MLE,8,1000,0.9987372060533379
VAE,8,1000,0.974591628432949
MLE,9,1000,0.9971484723241604
VAE,9,1000,0.9591137330720676
MLE,10,1000,0.998225991617567
VAE,10,1000,0.967951271399096
MLE,11,1000,0.9984793007759847
VAE,11,1000,0.9649305900000483
MLE,12,1000,0.9972181618270914
VAE,12,1000,0.9662523864020763
MLE,13,1000,0.9971492300854654
VAE,13,1000,0.9628753553277679
MLE,14,1000,0.9968875277618355
VAE,14,1000,0.9630104945374208
MLE,15,1000,0.9960737637627588
VAE,15,1000,0.9662882649830593
MLE,16,1000,0.9967942314350975
VAE,16,1000,0.9675180393516777
MLE,17,1000,0.9979681161392652
VAE,17,1000,0.9652368023419943
MLE,18,1000,0.9973584499594941
VAE,18,1000,0.9636475467105642
MLE,19,1000,0.9979135039423034
VAE,19,1000,0.9713652319423818
MLE,20,1000,0.9975407119935658
VAE,20,1000,0.9620549170304867
MLE,21,1000,0.9971336883929874
VAE,21,1000,0.9681310981539709
MLE,22,1000,0.9969059738246099
VAE,22,1000,0.9619342654506651
MLE,23,1000,0.995887430649023
VAE,23,1000,0.9675911119144844
MLE,24,1000,0.9987997765524974
VAE,24,1000,0.9644058767922744
MLE,25,1000,0.9977065107487603
VAE,25,1000,0.9720929100696903
MLE,26,1000,0.9982451600593644
VAE,26,1000,0.971176364897833
MLE,27,1000,0.9974482800839359
VAE,27,1000,0.9768612985815006
MLE,28,1000,0.9970472157049288
VAE,28,1000,0.9660391559252113
MLE,29,1000,0.9980621686830325
VAE,29,1000,0.9599460676742221
MLE,30,1000,0.9965282123435326
VAE,30,1000,0.9711004312447703
MLE,31,1000,0.9989114450146156
VAE,31,1000,0.9746416962035476
MLE,32,1000,0.9959575113485174
VAE,32,1000,0.9542484642435534
MLE,33,1000,0.9984338063813779
VAE,33,1000,0.96747890494547
MLE,34,1000,0.9978354403665554
VAE,34,1000,0.9632462590453263
MLE,35,1000,0.9977923711496011
VAE,35,1000,0.9681909716510648
MLE,36,1000,0.998419978345811
VAE,36,1000,0.9657185690651818
MLE,37,1000,0.998467066464889
VAE,37,1000,0.9711274076880877
MLE,38,1000,0.9974698422359394
VAE,38,1000,0.9652414318104389
MLE,39,1000,0.9979287469705224
VAE,39,1000,0.9695472055239229
MLE,40,1000,0.9978182470662618
VAE,40,1000,0.9615397429120651
MLE,41,1000,0.9978148239787972
VAE,41,1000,0.9690286594987402
MLE,42,1000,0.9971948049882137
VAE,42,1000,0.9692189249463373
MLE,43,1000,0.997425868710428
VAE,43,1000,0.9725075485023736
MLE,44,1000,0.9978460972080134
VAE,44,1000,0.9653747424114391
MLE,45,1000,0.9977375300141299
VAE,45,1000,0.956798726725776
MLE,46,1000,0.9967714006826373
VAE,46,1000,0.9685552659484472
MLE,47,1000,0.9966897629934576
VAE,47,1000,0.9640408931827021
MLE,48,1000,0.9972724489038614
VAE,48,1000,0.9695155786930523
MLE,49,1000,0.9979305884167251
VAE,49,1000,0.9650249069659281
