method,b,N,F_c
MLE,0,200,0.9854180904062547
VAE,0,200,0.96882228129392
MLE,1,200,0.9898190769327676
VAE,1,200,0.9670964287358096
MLE,2,200,0.9883781936019028
VAE,2,200,0.9625543807895981
MLE,3,200,0.9809530101655062
VAE,3,200,0.9631009512563442
MLE,4,200,0.9836545846530181
VAE,4,200,0.964574598869539
MLE,5,200,0.989780508590788
VAE,5,200,0.9678238666425881
MLE,6,200,0.9955299259369575
VAE,6,200,0.9735653303328451
MLE,7,200,0.9855178567710858
VAE,7,200,0.9645206522923447
MLE,8,200,0.9907508978622322
VAE,8,200,0.9678995887863824
MLE,9,200,0.9874635110953868
VAE,9,200,0.9569237713339847
MLE,10,200,0.9841741507866152
VAE,10,200,0.9637117061841317
MLE,11,200,0.9834410750650859
VAE,11,200,0.9747920816189252
MLE,12,200,0.990689332845258
VAE,12,200,0.9597460786552555
MLE,13,200,0.9844618646539263
VAE,13,200,0.9683544053471471
MLE,14,200,0.9862973475318125
VAE,14,200,0.9680765523469537
MLE,15,200,0.9789448935091685
VAE,15,200,0.9611445023597065
MLE,16,200,0.9856087718599114
VAE,16,200,0.9666135949623719
MLE,17,200,0.9874852281001482
VAE,17,200,0.9638499905724713
MLE,18,200,0.9789828488890249
VAE,18,200,0.9583390522844065
MLE,19,200,0.9872774820624582
VAE,19,200,0.9668401974721013
MLE,20,200,0.9782072590175476
VAE,20,200,0.9623362551272449
MLE,21,200,0.9872911673036
VAE,21,200,0.964000910611906
MLE,22,200,0.9835120841627966
VAE,22,200,0.9609960406924665
MLE,23,200,0.983657646927913
VAE,23,200,0.9692211819570732
MLE,24,200,0.9878887433709733
VAE,24,200,0.9630693375882015
MLE,25,200,0.9883735872427337
VAE,25,200,0.9666052315190143
MLE,26,200,0.9862505352268696
VAE,26,200,0.9667155118323588
MLE,27,200,0.9837231200294855
VAE,27,200,0.9600123330196039
MLE,28,200,0.9873587712915739
VAE,28,200,0.9750019472598781
MLE,29,200,0.9811101601606333
VAE,29,200,0.9605808163042193
MLE,30,200,0.9855095842517869
VAE,30,200,0.9624707752863434
MLE,31,200,0.9874150530731693
VAE,31,200,0.9598413897534251
MLE,32,200,0.9902612168309413
VAE,32,200,0.9700236892279092
MLE,33,200,0.9903515288047309
VAE,33,200,0.9592278648554463
MLE,34,200,0.9906569405172913
VAE,34,200,0.9721645468996678
MLE,35,200,0.9844175284639026
VAE,35,200,0.9635877730965632
MLE,36,200,0.9859637053944578
VAE,36,200,0.959890593130036
MLE,37,200,0.9865305896613207
VAE,37,200,0.9679158483226815
MLE,38,200,0.9830543177077931
VAE,38,200,0.9652798619792725
MLE,39,200,0.9808556442234346
VAE,39,200,0.9662136717472711
MLE,40,200,0.9867191688137916
VAE,40,200,0.9661650252817374
MLE,41,200,0.9803031416869263
VAE,41,200,0.9656811267418841
MLE,42,200,0.9789557315380834
VAE,42,200,0.9584009823462694
MLE,43,200,0.9782160896800994
VAE,43,200,0.951411036420772
MLE,44,200,0.9709948437167515
VAE,44,200,0.9584463427326796
MLE,45,200,0.9842874378008647
VAE,45,200,0.9655080467163828
MLE,46,200,0.9843451424030121
VAE,46,200,0.9591293223568786
MLE,47,200,0.9829319688839498
VAE,47,200,0.9597702114189429
MLE,48,200,0.9874927776932817
VAE,48,200,0.9655782736136326
MLE,49,200,0.9868266034894708
VAE,49,200,0.9661309405467651
