method,b,N,F_c
MLE,0,10000,0.9997408193566945
VAE,0,10000,0.9900141486184815
MLE,1,10000,0.99977787490247
VAE,1,10000,0.9910053459831144
MLE,2,10000,0.999644252426953
VAE,2,10000,0.9912495461445189
MLE,3,10000,0.9996006680146443
VAE,3,10000,0.9912551615916977
MLE,4,10000,0.9997036066727947
VAE,4,10000,0.991975743223684
MLE,5,10000,0.9993818962237125
VAE,5,10000,0.9909693259621188
MLE,6,10000,0.9996762522855077
VAE,6,10000,0.9882998761969708
MLE,7,10000,0.9997506457636345
VAE,7,10000,0.9915052651870877
MLE,8,10000,0.999535907399664
VAE,8,10000,0.9910178419108393
MLE,9,10000,0.9998041940549591
VAE,9,10000,0.9909402753031377
MLE,10,10000,0.999645980223649
VAE,10,10000,0.9916604497098602
MLE,11,10000,0.9997308713310212
VAE,11,10000,0.990763502678481
MLE,12,10000,0.9996216969542874
VAE,12,10000,0.9912776481714062
MLE,13,10000,0.9994892694654925
VAE,13,10000,0.9885944968500906
MLE,14,10000,0.99969519516268
VAE,14,10000,0.9905897959413127
MLE,15,10000,0.9995796600871387
VAE,15,10000,0.9917607289509094
MLE,16,10000,0.9996720087914892
VAE,16,10000,0.9909100084493642
MLE,17,10000,0.9997475759502193
VAE,17,10000,0.9907386823396587
MLE,18,10000,0.9996462232975477
VAE,18,10000,0.9916325411387192
MLE,19,10000,0.9996751971227807
VAE,19,10000,0.9910202087706186
MLE,20,10000,0.9997082814644067
VAE,20,10000,0.9890987190022064
MLE,21,10000,0.9997163453923162
VAE,21,10000,0.992081151213261
MLE,22,10000,0.999685491395283
VAE,22,10000,0.9908881148720919
MLE,23,10000,0.9996187741702296
VAE,23,10000,0.9912983675430714
MLE,24,10000,0.9996127493410227
VAE,24,10000,0.9916109371566435
MLE,25,10000,0.9996916091325709
VAE,25,10000,0.9901533246679434
MLE,26,10000,0.9998031802756131
VAE,26,10000,0.9920791054053348
MLE,27,10000,0.9997602192145889
VAE,27,10000,0.9893018006524151
MLE,28,10000,0.9996848108159165
VAE,28,10000,0.9895382278952198
MLE,29,10000,0.9996058258328663
VAE,29,10000,0.9917602936720235
MLE,30,10000,0.9997091815964002
VAE,30,10000,0.9911288298149483
MLE,31,10000,0.9996477656117759
VAE,31,10000,0.9907669934309848
MLE,32,10000,0.9996603383433624
VAE,32,10000,0.9896292475353085
MLE,33,10000,0.9996700887708838
VAE,33,10000,0.9918014789464595
MLE,34,10000,0.9997371449658236
VAE,34,10000,0.9898998872220097
MLE,35,10000,0.9996942727438309
VAE,35,10000,0.9910334115192145
MLE,36,10000,0.9997089193240695
VAE,36,10000,0.9913276527407104
MLE,37,10000,0.9997276031809362
VAE,37,10000,0.990758092822907
MLE,38,10000,0.9997391987622664
VAE,38,10000,0.9917458278191447
MLE,39,10000,0.9995550489269592
VAE,39,10000,0.9903963826005041
MLE,40,10000,0.999635170150053
VAE,40,10000,0.9905385658308317
MLE,41,10000,0.9996425797037749
VAE,41,10000,0.9898219315896203
MLE,42,10000,0.9997324809509649
VAE,42,10000,0.9917937645349163
MLE,43,10000,0.9994598846513197
VAE,43,10000,0.9914800431051414
MLE,44,10000,0.9998118260967871
VAE,44,10000,0.9901731644835026
MLE,45,10000,0.9997131909961516
VAE,45,10000,0.9915750753325047
MLE,46,10000,0.9997699059620337
VAE,46,10000,0.9907377771792477
MLE,47,10000,0.9996993913481167
VAE,47,10000,0.9906938466685915
MLE,48,10000,0.9996058879675329
VAE,48,10000,0.9918560538840525
MLE,49,10000,0.9996789086699855
VAE,49,10000,0.9908068657499426
