method,b,N,F_c
MLE,0,10000,0.9997167813904358
VAE,0,10000,0.9798268650747785
MLE,1,10000,0.999807248699254
VAE,1,10000,0.9814541471993122
MLE,2,10000,0.9998953495106204
VAE,2,10000,0.9772583426331893
MLE,3,10000,0.9997451119010455
VAE,3,10000,0.9865268316223974
MLE,4,10000,0.9998024559289094
VAE,4,10000,0.9876181068417635
MLE,5,10000,0.9996586301521619
VAE,5,10000,0.977171944418276
MLE,6,10000,0.9997640871630674
VAE,6,10000,0.9853399667543215
MLE,7,10000,0.9998515155307576
VAE,7,10000,0.987880418909793
MLE,8,10000,0.9997474677194912
VAE,8,10000,0.9848383219485132
MLE,9,10000,0.9997947317647774
VAE,9,10000,0.9827313645165269
MLE,10,10000,0.9998521373589367
VAE,10,10000,0.9805244962810685
MLE,11,10000,0.9998387075570051
VAE,11,10000,0.9836590914111062
MLE,12,10000,0.9998139234693502
VAE,12,10000,0.9817849397317049
MLE,13,10000,0.9997169162207965
VAE,13,10000,0.9864188469266696
MLE,14,10000,0.9996866579683987
VAE,14,10000,0.9907603985429279
MLE,15,10000,0.9998458992969527
VAE,15,10000,0.980397902917008
MLE,16,10000,0.9998738087924973
VAE,16,10000,0.9843580841129157
MLE,17,10000,0.9998550684512434
VAE,17,10000,0.981622005842499
MLE,18,10000,0.9997483389149506
VAE,18,10000,0.9814740790239613
MLE,19,10000,0.9997288334253926
VAE,19,10000,0.9768119458397034
MLE,20,10000,0.9997982074577374
VAE,20,10000,0.9821242627616267
MLE,21,10000,0.9997992479171612
VAE,21,10000,0.9810921091424187
MLE,22,10000,0.9999302666457218
VAE,22,10000,0.9858661901565016
MLE,23,10000,0.999801886812789
VAE,23,10000,0.9844725934226801
MLE,24,10000,0.9997323464943186
VAE,24,10000,0.9819336039099351
MLE,25,10000,0.9998095059683181
VAE,25,10000,0.9814013831317729
MLE,26,10000,0.999809875744845
VAE,26,10000,0.9795503084808387
MLE,27,10000,0.9997823585244081
VAE,27,10000,0.9839048700907417
MLE,28,10000,0.9997011058923935
VAE,28,10000,0.9906677590618168
MLE,29,10000,0.9997455123909771
VAE,29,10000,0.981112017800649
MLE,30,10000,0.9996394818047118
VAE,30,10000,0.9817810131861153
MLE,31,10000,0.9998569798433173
VAE,31,10000,0.9858025621021849
MLE,32,10000,0.9997862283944382
VAE,32,10000,0.9809749896695409
MLE,33,10000,0.9998832598787413
VAE,33,10000,0.9828085642390878
MLE,34,10000,0.9997782341056899
VAE,34,10000,0.983735915034427
MLE,35,10000,0.9998883634295155
VAE,35,10000,0.9814412084416264
MLE,36,10000,0.9998300254266027
VAE,36,10000,0.9856778299913282
MLE,37,10000,0.9998946242325764
VAE,37,10000,0.9815152343111418
MLE,38,10000,0.9997521772816863
VAE,38,10000,0.9810343812676677
MLE,39,10000,0.9997744995199056
VAE,39,10000,0.988809725918369
MLE,40,10000,0.9998471679225145
VAE,40,10000,0.990302443623646
MLE,41,10000,0.9997407051932354
VAE,41,10000,0.9800164954554385
MLE,42,10000,0.9998302225782019
VAE,42,10000,0.9793044634977155
MLE,43,10000,0.9998027347110252
VAE,43,10000,0.9848777444640179
MLE,44,10000,0.9997851718843698
VAE,44,10000,0.9818242729776426
MLE,45,10000,0.9998716902815238
VAE,45,10000,0.9813686393497371
MLE,46,10000,0.9997479014775675
VAE,46,10000,0.9771228366749115
MLE,47,10000,0.9998394386800179
VAE,47,10000,0.9850717749169117
MLE,48,10000,0.9998202952755751
VAE,48,10000,0.9904015835548183
MLE,49,10000,0.9997639803255848
VAE,49,10000,0.9789603851852068
