kl_loss,kl_weight,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0.5923570394515991,0.021250000223517418,5.678579807281494,5.66599178314209,0.5365625619888306,5.712040901184082,5.700639724731445
0.6012687683105469,0.042500000447034836,5.487260818481445,5.461706638336182,0.6014406681060791,5.462097644805908,5.4365363121032715
0.7935287356376648,0.0637499988079071,5.389333724975586,5.338746547698975,0.8135664463043213,5.356009006500244,5.304143905639648
1.1408333778381348,0.08500000089406967,5.236247539520264,5.139276504516602,1.181936264038086,5.183748722076416,5.083284378051758
1.644993782043457,0.10625000298023224,5.0887603759765625,4.913980007171631,1.7572511434555054,5.069643974304199,4.882936000823975
2.408520221710205,0.1274999976158142,4.933473587036133,4.626387119293213,2.5941553115844727,4.899040222167969,4.56828498840332
3.561554193496704,0.14875000715255737,4.6738152503967285,4.144034385681152,3.474586248397827,4.813722133636475,4.296877384185791
4.217477321624756,0.17000000178813934,4.446888446807861,3.729917287826538,3.8787646293640137,4.628261089324951,3.9688706398010254
4.033590793609619,0.1912499964237213,4.433506011962891,3.6620819568634033,3.8216071128845215,4.546085834503174,3.815203905105591
3.923912286758423,0.21250000596046448,4.337623119354248,3.5037918090820312,3.7907094955444336,4.415152072906494,3.609625816345215
4.106156826019287,0.23375000059604645,4.185934543609619,3.226120710372925,3.9186792373657227,4.385528087615967,3.469536781311035
4.25229024887085,0.2549999952316284,4.31551456451416,3.231180429458618,4.097050666809082,4.309318542480469,3.264570951461792
4.462925434112549,0.2762500047683716,4.184475898742676,2.9515929222106934,4.247251987457275,4.300654888153076,3.1273512840270996
4.4866108894348145,0.29750001430511475,4.0096306800842285,2.674863815307617,4.334989070892334,4.338741302490234,3.049081802368164
4.510008811950684,0.3187499940395355,4.2068562507629395,2.7692911624908447,4.345010280609131,4.309399604797363,2.9244275093078613
4.4554572105407715,0.3400000035762787,4.281264781951904,2.766409397125244,4.334559440612793,4.12809944152832,2.6543493270874023
4.396411418914795,0.36125001311302185,4.146907329559326,2.5587034225463867,4.2110700607299805,4.304505825042725,2.7832565307617188
4.191329002380371,0.3824999928474426,4.336432456970215,2.7332494258880615,4.138950347900391,4.294164657592773,2.7110159397125244
4.2238945960998535,0.4037500023841858,4.224363327026367,2.51896595954895,4.131451606750488,4.180952072143555,2.51287841796875
