n_samples,Fc,Fc_train
300,0.9504417274206332,0.7890011392919273
500,0.9644198980408891,0.8737867512709075
1000,0.9735405449492394,0.932132134033857
2000,0.980442195102977,0.9740232226840572
5000,0.9853619087338634,0.9909332736841086
10000,0.9888513733931931,0.9963169576077815
