n_samples,Fc,Fc_train
300,0.9531422795471302,0.8028002400833338
500,0.9606254709142229,0.877289608897222
1000,0.9652542597575471,0.9356924409681796
2000,0.9675807627730129,0.9685275301842234
5000,0.9833514258581674,0.9897506788907208
10000,0.9870893838516626,0.9951444345781644
