n_samples,Fc,Fc_train
300,0.9522433546617963,0.8136641898962215
500,0.9545916036241763,0.8854081657350297
1000,0.9654605184864113,0.9501069199646968
2000,0.9792383798757024,0.9736020072752665
5000,0.9835269349755328,0.9922949272321668
10000,0.9863561781685884,0.9955397535829311
