n_qubits,n_samples,Fc,Fc_train
3,500,0.970859954484902,0.9740815582734412
3,1000,0.978581318208951,0.9859543134248532
3,5000,0.9868693050824657,0.9980129481485616
3,10000,0.9888206174351823,0.9991576143866822
3,20000,0.9918964516819987,0.9995178537440083
3,50000,0.9930581855408404,0.9998106353655654
4,500,0.9667873913261952,0.8685924171020366
4,1000,0.9735634055874021,0.9393745339087695
4,5000,0.9872408769558193,0.9910195681532725
4,10000,0.9858899284440531,0.9959306303140212
4,20000,0.9902663966768215,0.9977783627036361
4,50000,0.9899237062221378,0.9991798652904729
5,500,0.9626194439518879,0.6644382144253546
5,1000,0.9411480732964672,0.799429244329794
5,5000,0.9853277860881354,0.9497682997070354
5,10000,0.9864394845270946,0.9789618202619463
5,20000,0.9877660980588678,0.989662292174908
5,50000,0.9893621431564471,0.9963433080589708
