n_qubits,n_samples,Fc,Fc_train
3,500,0.9812213750066613,0.9740815582734412
3,1000,0.9851804728263299,0.9859543134248532
3,5000,0.9906838072682972,0.9980129481485616
3,10000,0.9912340087377456,0.9991576143866822
3,20000,0.9912739032150958,0.9995178537440083
3,50000,0.9905682709648539,0.9998106353655654
4,500,0.9527510215542988,0.8685924171020366
4,1000,0.9605882118611558,0.9393745339087695
4,5000,0.9866645930011918,0.9910195681532725
4,10000,0.9853931517810007,0.9959306303140212
4,20000,0.9896640417780296,0.9977783627036361
4,50000,0.9903140649050958,0.9991798652904729
5,500,0.9646500731703921,0.6644382144253546
5,1000,0.9392430832524146,0.799429244329794
5,5000,0.9855745521864856,0.9497682997070354
5,10000,0.9868517790176163,0.9789618202619463
5,20000,0.9852830282174798,0.989662292174908
5,50000,0.9886388001204599,0.9963433080589708
