n_samples,Fc,Fc_train
300,0.9444739399307458,0.7810874649358618
500,0.9592340715687083,0.8912205202397966
1000,0.9661283256120565,0.9401128448242817
2000,0.982992102910439,0.972234540037352
5000,0.9876109453809363,0.9901418613648092
10000,0.9874557615902891,0.9957936283678815
