n_samples,Fc,Fc_train
300,0.9517085031788065,0.8030616630784253
500,0.9632087446418811,0.8978778161611949
1000,0.9601733894192341,0.9345032820352822
2000,0.9775012908559796,0.975502812318322
5000,0.9813970283802885,0.991813217193484
10000,0.9846582765965683,0.9962788589463573
