n_qubits,n_samples,Fc,Fc_train
3,500,0.9722867302784296,0.9740815582734412
3,1000,0.9777485778470048,0.9859543134248532
3,5000,0.9920813560215455,0.9980129481485616
3,10000,0.9915518830243429,0.9991576143866822
3,20000,0.9919775526919752,0.9995178537440083
3,50000,0.9921126117991895,0.9998106353655654
4,500,0.9697759287056855,0.8685924171020366
4,1000,0.9691926286769397,0.9393745339087695
4,5000,0.9800726407776695,0.9910195681532725
4,10000,0.9843506536249904,0.9959306303140212
4,20000,0.9889240445024791,0.9977783627036361
4,50000,0.9912086642422258,0.9991798652904729
5,500,0.9368384153799504,0.6644382144253546
5,1000,0.9424873767485855,0.799429244329794
5,5000,0.9694579656457933,0.9497682997070354
5,10000,0.9847374466242693,0.9789618202619463
5,20000,0.9891266033864091,0.989662292174908
5,50000,0.9890251496166702,0.9963433080589708
