n_samples,Fc,Fc_train
300,0.951365711060373,0.8063990589564135
500,0.9526171653202541,0.8815384339396908
1000,0.9622221646882156,0.9382061033587793
2000,0.9752618495219076,0.9776558628958592
5000,0.9784102447048125,0.9914912048367851
10000,0.9880465652650999,0.9961496595209217
