n_qubits,n_samples,Fc,Fc_train
3,500,0.9745366953494503,0.9740815582734412
3,1000,0.9778117435397633,0.9859543134248532
3,5000,0.9900124735423474,0.9980129481485616
3,10000,0.9904099804872377,0.9991576143866822
3,20000,0.9914841503657345,0.9995178537440083
3,50000,0.9926342163660382,0.9998106353655654
4,500,0.953341943532374,0.8685924171020366
4,1000,0.9613839407590982,0.9393745339087695
4,5000,0.9826488417433586,0.9910195681532725
4,10000,0.9872462579993572,0.9959306303140212
4,20000,0.9886617008293673,0.9977783627036361
4,50000,0.9908247721583574,0.9991798652904729
5,500,0.9346256320859124,0.6644382144253546
5,1000,0.9458572815918104,0.799429244329794
5,5000,0.9845125767878071,0.9497682997070354
5,10000,0.986912421145054,0.9789618202619463
5,20000,0.9865075085574159,0.989662292174908
5,50000,0.9882627303148879,0.9963433080589708
