kl_loss,kl_weight,loss,reconstruction_loss,val_kl_loss,val_loss,val_reconstruction_loss
0.6328718066215515,0.021250000223517418,5.581422805786133,5.567974090576172,0.6311095952987671,5.546454906463623,5.533044338226318
0.7770165205001831,0.042500000447034836,5.397799491882324,5.364777088165283,0.7595970034599304,5.465427398681641,5.433144569396973
0.9743096828460693,0.0637499988079071,5.3261494636535645,5.264036655426025,0.9916425347328186,5.317690849304199,5.254473686218262
1.331600546836853,0.08500000089406967,5.21158504486084,5.098398685455322,1.367204189300537,5.04518461227417,4.928972244262695
1.9210999011993408,0.10625000298023224,5.002826690673828,4.798710346221924,1.9545925855636597,4.938727855682373,4.731052398681641
2.562049627304077,0.1274999976158142,4.807860851287842,4.481199741363525,2.803297758102417,4.686678886413574,4.329258441925049
3.778489112854004,0.14875000715255737,4.496265411376953,3.9342153072357178,3.7454354763031006,4.519529342651367,3.9623961448669434
4.331116199493408,0.17000000178813934,4.449743270874023,3.7134532928466797,4.338878154754639,4.424282550811768,3.686673641204834
4.61159610748291,0.1912499964237213,4.305688858032227,3.4237213134765625,4.5287909507751465,4.326598644256592,3.460467576980591
4.7526397705078125,0.21250000596046448,4.198997974395752,3.1890618801116943,4.608773231506348,4.280116558074951,3.3007521629333496
4.720986366271973,0.23375000059604645,4.166703701019287,3.0631725788116455,4.696838855743408,4.198547840118408,3.100661516189575
4.927829742431641,0.2549999952316284,4.092076301574707,2.835479974746704,4.88297700881958,4.208969593048096,2.9638102054595947
4.995957851409912,0.2762500047683716,4.1031107902526855,2.722977638244629,4.890929698944092,4.313633918762207,2.9625144004821777
4.862211227416992,0.29750001430511475,4.044912338256836,2.5984039306640625,4.763627529144287,4.100929260253906,2.6837499141693115
4.657739162445068,0.3187499940395355,4.206808567047119,2.722154140472412,4.567092418670654,4.281528949737549,2.825768232345581
4.5140557289123535,0.3400000035762787,4.2947540283203125,2.759974956512451,4.510178089141846,4.2865729331970215,2.753112554550171
4.449655055999756,0.36125001311302185,4.3071064949035645,2.6996686458587646,4.463966369628906,4.140595436096191,2.527987480163574
4.499239921569824,0.3824999928474426,4.196145057678223,2.4751858711242676,4.409041881561279,4.279007434844971,2.5925488471984863
4.378656387329102,0.4037500023841858,4.252183437347412,2.4843006134033203,4.281842231750488,4.244698524475098,2.515904426574707
4.202426910400391,0.42500001192092896,4.359983444213867,2.573951482772827,4.157581329345703,4.302419662475586,2.535447120666504
4.156293869018555,0.44624999165534973,4.283062934875488,2.428316593170166,4.097655773162842,4.208988666534424,2.3804099559783936
4.127261161804199,0.4675000011920929,4.2202467918396,2.2907521724700928,4.064668655395508,4.446618556976318,2.5463860034942627
4.080712795257568,0.48875001072883606,4.521536350250244,2.5270884037017822,4.022523403167725,4.513005256652832,2.546996831893921
3.965167284011841,0.5099999904632568,4.5654401779174805,2.5432047843933105,3.8811752796173096,4.6800923347473145,2.700692653656006
3.7433762550354004,0.53125,4.55540657043457,2.566737651824951,3.7000904083251953,4.658318042755127,2.6926450729370117
3.733006000518799,0.5525000095367432,4.803293228149414,2.74080753326416,3.6810107231140137,4.903770446777344,2.870011806488037
3.683124303817749,0.5737500190734863,4.829380512237549,2.7161877155303955,3.671898603439331,4.70219612121582,2.595444440841675
3.6373980045318604,0.5950000286102295,4.9192795753479,2.755028009414673,3.573324203491211,4.849212169647217,2.7230842113494873
3.532525062561035,0.6162499785423279,4.834163665771484,2.65724515914917,3.408710241317749,4.668727874755859,2.5681099891662598
3.3828125,0.637499988079071,5.008302211761475,2.8517589569091797,3.343007802963257,4.936489105224609,2.80532169342041
3.317147731781006,0.6587499976158142,5.23379373550415,3.0486223697662354,3.2481958866119385,4.814666271209717,2.674917697906494
3.223419189453125,0.6800000071525574,5.15690803527832,2.964982509613037,3.1532294750213623,5.046321392059326,2.902125358581543
3.1131110191345215,0.7012500166893005,5.199288368225098,3.0162193775177,3.020721435546875,5.1181135177612305,2.99983286857605
2.976896286010742,0.7225000262260437,5.1382975578308105,2.987490177154541,2.9250807762145996,5.172041416168213,3.05867075920105
2.8675167560577393,0.7437499761581421,5.369441509246826,3.2367260456085205,2.822080135345459,5.359201431274414,3.260279893875122
2.7292404174804688,0.7649999856948853,5.371866226196289,3.2839977741241455,2.7299604415893555,5.32879638671875,3.2403769493103027
2.66660737991333,0.7862499952316284,5.054698944091797,2.9580793380737305,2.638066291809082,5.259078502655029,3.184899091720581
2.5292513370513916,0.8075000047683716,5.150852680206299,3.1084823608398438,2.4714460372924805,5.313581943511963,3.317889928817749
