n_samples,Fc,Fc_train
300,0.9456594911100911,0.7913088540927538
500,0.971469736601085,0.8802114501192174
1000,0.9742260164355393,0.935109425364907
2000,0.9719668603112416,0.9769094115034468
5000,0.9750008445117798,0.9914930496269575
10000,0.9875254398833565,0.9957281540170918
