method,b,N,F_c
MLE,0,10000,0.9997888745698916
VAE,0,10000,0.9991277127294533
MLE,1,10000,0.9996036910738881
VAE,1,10000,0.998048281611473
MLE,2,10000,0.9996687009509879
VAE,2,10000,0.9981910958042001
MLE,3,10000,0.9997620197387085
VAE,3,10000,0.9992513700042276
MLE,4,10000,0.9995791652487253
VAE,4,10000,0.9989630470975279
MLE,5,10000,0.9996567157819126
VAE,5,10000,0.9966697730138763
MLE,6,10000,0.9997341071142644
VAE,6,10000,0.9984194530791473
MLE,7,10000,0.9996655292096323
VAE,7,10000,0.9992708538403614
MLE,8,10000,0.9997850931702792
VAE,8,10000,0.9980978881713007
MLE,9,10000,0.9997887213718422
VAE,9,10000,0.999439128191723
MLE,10,10000,0.9997846114465729
VAE,10,10000,0.9991870314591519
MLE,11,10000,0.9997057314735908
VAE,11,10000,0.9983366303076381
MLE,12,10000,0.999767125420518
VAE,12,10000,0.9983841369280143
MLE,13,10000,0.9996387088985694
VAE,13,10000,0.9994433632060749
MLE,14,10000,0.999663881870462
VAE,14,10000,0.9980893676073715
MLE,15,10000,0.9996209008046818
VAE,15,10000,0.9980167713612604
MLE,16,10000,0.9997355236400288
VAE,16,10000,0.99909447115483
MLE,17,10000,0.999596680244857
VAE,17,10000,0.9978742480608679
MLE,18,10000,0.9997400152947392
VAE,18,10000,0.9993480713768932
MLE,19,10000,0.9997185318018923
VAE,19,10000,0.9994113110747099
MLE,20,10000,0.9996866476959572
VAE,20,10000,0.998512769493164
MLE,21,10000,0.9997255897800059
VAE,21,10000,0.9991591550677289
MLE,22,10000,0.999647017666004
VAE,22,10000,0.9980017986567608
MLE,23,10000,0.9996346206397924
VAE,23,10000,0.9990725105533345
MLE,24,10000,0.9996471209860475
VAE,24,10000,0.9964252102584977
MLE,25,10000,0.9995986986303782
VAE,25,10000,0.9990196648974184
MLE,26,10000,0.9997242758013912
VAE,26,10000,0.9992995459424691
MLE,27,10000,0.9998668356891367
VAE,27,10000,0.998658980875383
MLE,28,10000,0.9998222745247363
VAE,28,10000,0.9989519842893422
MLE,29,10000,0.999718393149774
VAE,29,10000,0.9987492970126127
MLE,30,10000,0.9998077444405952
VAE,30,10000,0.9991247278993888
MLE,31,10000,0.99973692135529
VAE,31,10000,0.9987557179732447
MLE,32,10000,0.9998060035581467
VAE,32,10000,0.9983084307995214
MLE,33,10000,0.9997026930738862
VAE,33,10000,0.9991105210830024
MLE,34,10000,0.9996461257307611
VAE,34,10000,0.9988107237188832
MLE,35,10000,0.9996122919044675
VAE,35,10000,0.99915427344649
MLE,36,10000,0.9997731935011555
VAE,36,10000,0.9994395293259146
MLE,37,10000,0.9996895835790359
VAE,37,10000,0.9989010847060483
MLE,38,10000,0.9996792295979157
VAE,38,10000,0.9987889597458315
MLE,39,10000,0.9995698067740963
VAE,39,10000,0.9991919567803674
MLE,40,10000,0.9996928154663597
VAE,40,10000,0.9983720468480568
MLE,41,10000,0.9996770191417899
VAE,41,10000,0.9990562745460024
MLE,42,10000,0.9994826354977951
VAE,42,10000,0.9986250658102978
MLE,43,10000,0.9998096922924935
VAE,43,10000,0.9992071220597194
MLE,44,10000,0.999674293391994
VAE,44,10000,0.9987492917764029
MLE,45,10000,0.9997419482283209
VAE,45,10000,0.9992175108304758
MLE,46,10000,0.9997973186538961
VAE,46,10000,0.9975585230603975
MLE,47,10000,0.9995918095270337
VAE,47,10000,0.9987281145400624
MLE,48,10000,0.999738571113009
VAE,48,10000,0.9989286962348953
MLE,49,10000,0.9997191616480751
VAE,49,10000,0.9983672113223466
