n_qubits,n_samples,Fc,Fc_train
3,500,0.9744580686701788,0.9740815582734412
3,1000,0.9785700259765847,0.9859543134248532
3,5000,0.9911423564126052,0.9980129481485616
3,10000,0.9915100940342788,0.9991576143866822
3,20000,0.9925839198063996,0.9995178537440083
3,50000,0.9925246846773571,0.9998106353655654
4,500,0.9515208904585936,0.8685924171020366
4,1000,0.9616186917007925,0.9393745339087695
4,5000,0.9868742638955726,0.9910195681532725
4,10000,0.9881037793377375,0.9959306303140212
4,20000,0.9886809853826818,0.9977783627036361
4,50000,0.9903746370248742,0.9991798652904729
5,500,0.9642388979888646,0.6644382144253546
5,1000,0.9429806045429342,0.799429244329794
5,5000,0.9683051782153244,0.9497682997070354
5,10000,0.9861819611157875,0.9789618202619463
5,20000,0.9880994393358191,0.989662292174908
5,50000,0.9884456391275007,0.9963433080589708
