method,b,N,F_c,F_q
MLE,0,5000,0.9992876001178983,0.9407098778563298
MLE,1,5000,0.9996749941346497,0.9715959588811148
MLE,2,5000,0.9990808014143412,0.9345712944797498
MLE,3,5000,0.999186494555747,0.9386459700048008
MLE,4,5000,0.9994002823296039,0.943541598111167
MLE,5,5000,0.9992585844439886,0.9392076138127606
MLE,6,5000,0.9995338092989983,0.9450344283714609
MLE,7,5000,0.9995279146986875,0.9416459780151853
MLE,8,5000,0.9992821619185683,0.9324256142125402
MLE,9,5000,0.9995527437573432,0.94556118474308
MLE,10,5000,0.9993474771645343,0.9376623606068994
MLE,11,5000,0.9995925519483569,0.9474188477855152
MLE,12,5000,0.9993667607149803,0.941211992204502
MLE,13,5000,0.9990967012576135,0.9406920445357799
MLE,14,5000,0.9993634404864042,0.9453639066787024
MLE,15,5000,0.9990861747168931,0.9298707018741112
MLE,16,5000,0.9991569028572642,0.9212238315863502
MLE,17,5000,0.9995697309553392,0.9719020832108908
MLE,18,5000,0.9991446318935983,0.9389980782838536
MLE,19,5000,0.9995817744512516,0.9625233722128209
MLE,20,5000,0.9994760205408286,0.940780287761658
MLE,21,5000,0.9992990275052982,0.938330582129272
MLE,22,5000,0.9993165835909402,0.927249600024666
MLE,23,5000,0.9995216153325605,0.9691907042249919
MLE,24,5000,0.9995558006483674,0.9622751598336442
MLE,25,5000,0.999173388895378,0.9363222958059471
MLE,26,5000,0.9995786381419631,0.9570839685609493
MLE,27,5000,0.9994046200929328,0.9610042638101283
MLE,28,5000,0.9991814369665835,0.9320177649946565
MLE,29,5000,0.9992062287779576,0.9223343893442509
MLE,30,5000,0.9993790097155876,0.9400160324730238
MLE,31,5000,0.999020194096418,0.9535041638761852
MLE,32,5000,0.9994051184942307,0.9550687268843471
MLE,33,5000,0.9993638155273277,0.957095639836337
MLE,34,5000,0.9992461257855931,0.9257873004177761
MLE,35,5000,0.9992739183870445,0.9385682020130918
MLE,36,5000,0.9993966220296382,0.9472520957317466
MLE,37,5000,0.9993953655252913,0.9450054993355955
MLE,38,5000,0.9991705207053448,0.9404920539446305
MLE,39,5000,0.9991742571027303,0.9384200629372479
MLE,40,5000,0.9992660957044204,0.9296765290368331
MLE,41,5000,0.9993997749062402,0.9417151388685435
MLE,42,5000,0.9993696844877716,0.9350697959722746
MLE,43,5000,0.9990917729004843,0.9501968046266587
MLE,44,5000,0.9996326139146626,0.9593787742489016
MLE,45,5000,0.9993200777496416,0.9496770513781856
MLE,46,5000,0.9995228194261613,0.9413177617405581
MLE,47,5000,0.9994284559848571,0.9431480693927377
MLE,48,5000,0.9992313761773723,0.9319161587425561
MLE,49,5000,0.9993383725259668,0.9325668362357422
