method,b,N,F_c,F_q
MLE,0,1000,0.9954870841070301,0.857053507813544
MLE,1,1000,0.9988555310173844,0.9606926860380351
MLE,2,1000,0.9970090805771348,0.8657275059615418
MLE,3,1000,0.9960638906317684,0.878219068343585
MLE,4,1000,0.9972858555542157,0.8850793241249597
MLE,5,1000,0.9969749305304194,0.8429339006837089
MLE,6,1000,0.9978987398268655,0.8971460774889937
MLE,7,1000,0.9986027892656559,0.9355918916424787
MLE,8,1000,0.9976248942445267,0.900545644556624
MLE,9,1000,0.9967997446007704,0.870398211127255
MLE,10,1000,0.9975878425483953,0.8616486288930874
MLE,11,1000,0.99765590102536,0.9200900954125547
MLE,12,1000,0.9957560457196775,0.7873614864698413
MLE,13,1000,0.9946849159407443,0.8814156815673256
MLE,14,1000,0.9948091933814327,0.8563754793260289
MLE,15,1000,0.9955493133053945,0.8471582972258065
MLE,16,1000,0.9978628062825067,0.8897029245840031
MLE,17,1000,0.9963544990286921,0.9111528271616822
MLE,18,1000,0.9955691691031403,0.8129389537082545
MLE,19,1000,0.9970399066113419,0.8923942408034399
MLE,20,1000,0.9973568495456785,0.9080879686379151
MLE,21,1000,0.9975333425629903,0.9115504091318859
MLE,22,1000,0.9968390022529111,0.8836763839368921
MLE,23,1000,0.9959174782555947,0.843864924984955
MLE,24,1000,0.9983852988686788,0.9217943648786294
MLE,25,1000,0.9982972044153716,0.9219179993079956
MLE,26,1000,0.9975455391606445,0.8600549833139344
MLE,27,1000,0.9978900634245775,0.9036199683546321
MLE,28,1000,0.9972329090284805,0.9001574920120531
MLE,29,1000,0.9960020481007729,0.8544548127726601
MLE,30,1000,0.9974978977166086,0.8899577682589216
MLE,31,1000,0.9981428127960308,0.9313383148299904
MLE,32,1000,0.9965797999578254,0.9137697177306401
MLE,33,1000,0.9977243940840561,0.9479247337934156
MLE,34,1000,0.9967901627122979,0.8437257406186497
MLE,35,1000,0.9976014637247986,0.9012926609956478
MLE,36,1000,0.9958876271423209,0.8429083699361727
MLE,37,1000,0.9974556802185851,0.8874740611188904
MLE,38,1000,0.9963884547659393,0.8372057037214965
MLE,39,1000,0.9977604827616383,0.9527271371497733
MLE,40,1000,0.9964263356424304,0.8496093316757655
MLE,41,1000,0.9957382824477726,0.7925890579558323
MLE,42,1000,0.9977613554817206,0.9250943249286956
MLE,43,1000,0.9955092588329582,0.8651937798913358
MLE,44,1000,0.9958806050524242,0.8367561698530673
MLE,45,1000,0.996568989217951,0.8551284511965997
MLE,46,1000,0.9973406412975471,0.8805436019566031
MLE,47,1000,0.9969492703488938,0.8849803283724093
MLE,48,1000,0.9954639712376593,0.8053569559295167
MLE,49,1000,0.9969174947031438,0.8340851175053025
