n_qubits,n_samples,Fc,Fc_train
3,500,0.9808966835122913,0.9740815582734412
3,1000,0.983566148705247,0.9859543134248532
3,5000,0.9892997478409082,0.9980129481485616
3,10000,0.9919842919888429,0.9991576143866822
3,20000,0.9921739617182759,0.9995178537440083
3,50000,0.992038525270164,0.9998106353655654
4,500,0.9535092289625432,0.8685924171020366
4,1000,0.9665728489549625,0.9393745339087695
4,5000,0.986874916387412,0.9910195681532725
4,10000,0.9870987333566159,0.9959306303140212
4,20000,0.9893178360221999,0.9977783627036361
4,50000,0.9910735449875667,0.9991798652904729
5,500,0.9376240328804142,0.6644382144253546
5,1000,0.9392409779977018,0.799429244329794
5,5000,0.9837644762125001,0.9497682997070354
5,10000,0.985144893214513,0.9789618202619463
5,20000,0.9868448015444932,0.989662292174908
5,50000,0.9879588306548405,0.9963433080589708
