n_qubits,n_samples,Fc,Fc_train
3,500,0.9806450222542028,0.9740815582734412
3,1000,0.9799079867329643,0.9859543134248532
3,5000,0.9846657732146072,0.9980129481485616
3,10000,0.990770771736145,0.9991576143866822
3,20000,0.991958881130701,0.9995178537440083
3,50000,0.9926566858835185,0.9998106353655654
4,500,0.9516210511633346,0.8685924171020366
4,1000,0.9622861080927867,0.9393745339087695
4,5000,0.9808617339389716,0.9910195681532725
4,10000,0.9884863136922326,0.9959306303140212
4,20000,0.9903153649625098,0.9977783627036361
4,50000,0.990518868695477,0.9991798652904729
5,500,0.9612930137670922,0.6644382144253546
5,1000,0.9406699643093028,0.799429244329794
5,5000,0.9692204015574348,0.9497682997070354
5,10000,0.985905667109076,0.9789618202619463
5,20000,0.9868769909915365,0.989662292174908
5,50000,0.988191069157131,0.9963433080589708
