n_samples,Fc,Fc_train
300,0.9484361323202104,0.8003246687166518
500,0.9600064426788099,0.8917715526157477
1000,0.9717264227920446,0.9418545119498847
2000,0.9785813068621877,0.9746284842866407
5000,0.9871088910408464,0.9910975803267923
10000,0.9858381608732439,0.9959678733646486
