method,b,N,F_c,F_q
MLE,0,100,0.9641807831401356,0.6129184591837026
MLE,1,100,0.9890610764381593,0.7621999199428507
MLE,2,100,0.9629915837180946,0.5042347078354061
MLE,3,100,0.967147960676178,0.511361643023207
MLE,4,100,0.9674916401544974,0.4572691072930918
MLE,5,100,0.9845858450745288,0.7017114298241721
MLE,6,100,0.9930540886887792,0.8703335292876435
MLE,7,100,0.9666095504729655,0.6807515535948478
MLE,8,100,0.9837494759017091,0.7604795196211295
MLE,9,100,0.9736483691233617,0.6557799417588175
MLE,10,100,0.9708655027105904,0.556850905963231
MLE,11,100,0.9792350529830929,0.8170389606565825
MLE,12,100,0.9712039612604615,0.5640143385843993
MLE,13,100,0.9709362751057531,0.5965338223268024
MLE,14,100,0.9710226509097728,0.6221104851041611
MLE,15,100,0.9639169043553875,0.5120982898986953
MLE,16,100,0.9617668012186655,0.4772672524595094
MLE,17,100,0.9739470430602692,0.6310908692312789
MLE,18,100,0.9554727411315108,0.4903362760130812
MLE,19,100,0.9716499172312113,0.6218940267160249
MLE,20,100,0.9621624166372481,0.4356621375666751
MLE,21,100,0.979342189423315,0.5548435855362778
MLE,22,100,0.9715723440964357,0.6146291464428121
MLE,23,100,0.974026636081807,0.5503836521015952
MLE,24,100,0.9718074244875833,0.6035877790974388
MLE,25,100,0.9807385127317874,0.7140028445982329
MLE,26,100,0.9824977436145699,0.6443923523736812
MLE,27,100,0.9618062002665001,0.5978282298100696
MLE,28,100,0.9860741143204708,0.726964639835913
MLE,29,100,0.9681059636564473,0.5218183565053567
MLE,30,100,0.9846949829214158,0.6989620428109178
MLE,31,100,0.9883098109038376,0.7980084971574533
MLE,32,100,0.98024127772744,0.6445063111951509
MLE,33,100,0.9796836238214239,0.7275595817169948
MLE,34,100,0.9857628155359097,0.7683847230423904
MLE,35,100,0.9611408037773794,0.41664438722453384
MLE,36,100,0.973961331718713,0.6527086305166496
MLE,37,100,0.9698874547335065,0.6638575029091902
MLE,38,100,0.9724437715683711,0.5436514968141493
MLE,39,100,0.9628680896759009,0.5920039023642332
MLE,40,100,0.9805400506757017,0.6501828039900482
MLE,41,100,0.9799300635337548,0.6051027710957686
MLE,42,100,0.9643772417552862,0.4983888246363427
MLE,43,100,0.9732056247137832,0.5688662742470272
MLE,44,100,0.959970163091647,0.44363230928726194
MLE,45,100,0.9734392311550517,0.6910143801490829
MLE,46,100,0.977967394510482,0.6176704909231544
MLE,47,100,0.9568536952933224,0.38265903687004404
MLE,48,100,0.9770204735117197,0.753295866750281
MLE,49,100,0.964884967872526,0.6582004958436317
