n_qubits,n_samples,Fc,Fc_train
3,500,0.9739577277460185,0.9740815582734412
3,1000,0.9810718471002474,0.9859543134248532
3,5000,0.9847181320021321,0.9980129481485616
3,10000,0.9902780477849542,0.9991576143866822
3,20000,0.9923439252852669,0.9995178537440083
3,50000,0.9913888247900895,0.9998106353655654
4,500,0.9522163798068858,0.8685924171020366
4,1000,0.9621193522914062,0.9393745339087695
4,5000,0.9721336854946613,0.9910195681532725
4,10000,0.9874217830412844,0.9959306303140212
4,20000,0.9902741597666971,0.9977783627036361
4,50000,0.9899798745510394,0.9991798652904729
5,500,0.9333388688840332,0.6644382144253546
5,1000,0.9406950424615902,0.799429244329794
5,5000,0.9677779539520983,0.9497682997070354
5,10000,0.9863257285913759,0.9789618202619463
5,20000,0.9883284466632998,0.989662292174908
5,50000,0.98931099876444,0.9963433080589708
