n_samples,Fc,Fc_train
300,0.9472498939736392,0.7823051585715015
500,0.9545254574963774,0.8759136923013695
1000,0.9610765073662356,0.9506598170261044
2000,0.9720793687400461,0.970725749581946
5000,0.9860695998832326,0.9915641311238977
10000,0.989907983747258,0.9963711090329557
