n_qubits,n_samples,Fc,Fc_train
3,500,0.9723725043427113,0.9740815582734412
3,1000,0.9789220085523037,0.9859543134248532
3,5000,0.9893075521599429,0.9980129481485616
3,10000,0.990311965745321,0.9991576143866822
3,20000,0.993270594868506,0.9995178537440083
3,50000,0.9926840167006241,0.9998106353655654
4,500,0.9698012705664825,0.8685924171020366
4,1000,0.9682309919763761,0.9393745339087695
4,5000,0.9867256636592374,0.9910195681532725
4,10000,0.9875810430377999,0.9959306303140212
4,20000,0.9894541632305619,0.9977783627036361
4,50000,0.9889486782733078,0.9991798652904729
5,500,0.9368986838653842,0.6644382144253546
5,1000,0.9413343502923281,0.799429244329794
5,5000,0.9839841186578275,0.9497682997070354
5,10000,0.9873218398459859,0.9789618202619463
5,20000,0.988285181225514,0.989662292174908
5,50000,0.9895072670416256,0.9963433080589708
